"period","from","to"
"y6q1",2021-05-01 00:00:00,2021-07-31 23:59:59
"y6q2",2021-08-01 00:00:00,2021-10-31 23:59:59
"y6q3",2021-11-01 00:00:00,2022-01-31 23:59:59
"y6q4",2022-02-01 00:00:00,2022-04-30 23:59:59
"y6",2021-05-01 00:00:00,2022-04-30 23:59:59
"y7q1",2022-05-01 00:00:00,2022-07-31 23:59:59
"y7q2",2022-08-01 00:00:00,2022-10-31 23:59:59
"y7q3",2022-11-01 00:00:00,2023-01-31 23:59:59
"y7q4",2023-02-01 00:00:00,2023-04-30 23:59:59
"y8q1",2023-05-01 00:00:00,2023-07-31 23:59:59
"y8q2",2023-08-01 00:00:00,2023-10-31 23:59:59
"y8q3",2023-11-01 00:00:00,2024-01-31 23:59:59
"y8q4",2024-02-01 00:00:00,2024-04-30 23:59:59
"y9q1",2024-05-01 00:00:00,2024-07-31 23:59:59
"y9q2",2024-08-01 00:00:00,2024-10-31 23:59:59
"y9q3",2024-11-01 00:00:00,2025-01-31 23:59:59
"y9q4",2025-02-01 00:00:00,2025-04-30 23:59:59
"y10q1",2025-05-01 00:00:00,2025-07-31 23:59:59
"y10q2",2025-08-01 00:00:00,2025-10-31 23:59:59
"y10q3",2025-11-01 00:00:00,2026-01-31 23:59:59
"y10q4",2026-02-01 00:00:00,2026-04-30 23:59:59
"y11q1",2026-05-01 00:00:00,2026-07-31 23:59:59
"y10",2025-05-01 00:00:00,2026-04-30 23:59:59
"y9",2024-05-01 00:00:00,2025-04-30 23:59:59
"y8",2023-05-01 00:00:00,2024-04-30 23:59:59
"y7",2022-05-01 00:00:00,2023-04-30 23:59:59
"y_1_5",2000-01-01 00:00:00,2021-04-30 23:59:59
